"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9FPX4KRK","conferencePaper","2016","Gebejes, Ana; Fält, Pauli; Bednarik, Roman; Hauta-Kasari, Markku","SPEED: SPectral Eye VidEo Database","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","978-1-4503-4462-3","","10.1145/2968219.2968335","https://doi-org.ez.sun.ac.za/10.1145/2968219.2968335","","2016","2020-06-05 12:35:03","2020-06-05 12:35:03","","1666–1675","","","","","","","UbiComp ’16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Heidelberg, Germany","","","","eye tracking; hyperspectral image; multispectral video; spectral database","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3PL8BW8A","conferencePaper","2018","Yoon, Minji; Jin, Woojeong; Kang, U.","Fast and Accurate Random Walk with Restart on Dynamic Graphs with Guarantees","Proceedings of the 2018 World Wide Web Conference","978-1-4503-5639-8","","10.1145/3178876.3186107","https://doi-org.ez.sun.ac.za/10.1145/3178876.3186107","","2018","2020-06-05 12:35:03","2020-06-05 12:35:03","","409–418","","","","","","","WWW ’18","","","","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, CHE","","","","","","","","event-place: Lyon, France","","","","online algorithm; random walk with restart; time-evolving graphs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UALXFNDS","journalArticle","2017","Smith, Brandon M.; Desai, Pratham; Agarwal, Vishal; Gupta, Mohit","CoLux: Multi-Object 3D Micro-Motion Analysis Using Speckle Imaging","ACM Trans. Graph.","","0730-0301","10.1145/3072959.3073607","https://doi-org.ez.sun.ac.za/10.1145/3072959.3073607","","2017-07","2020-06-05 12:35:03","2020-06-05 12:35:03","","","","4","36","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","user interfaces; gesture recognition; computational imaging; micro motion measurement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YWMD7FM7","conferencePaper","2017","Zhang, Mengdan; Feng, Jiashi; Hu, Weiming","Robust Visual Object Tracking with Top-down Reasoning","Proceedings of the 25th ACM International Conference on Multimedia","978-1-4503-4906-2","","10.1145/3123266.3123449","https://doi-org.ez.sun.ac.za/10.1145/3123266.3123449","","2017","2020-06-05 12:35:03","2020-06-05 12:35:03","","226–234","","","","","","","MM ’17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Mountain View, California, USA","","","","deep learning; computer vision; visual tracking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFQWA3ED","conferencePaper","2018","Liu, Xiaochen; Jiang, Yurong; Jain, Puneet; Kim, Kyu-Han","TAR: Enabling Fine-Grained Targeted Advertising in Retail Stores","Proceedings of the 16th Annual International Conference on Mobile Systems, Applications, and Services","978-1-4503-5720-3","","10.1145/3210240.3210342","https://doi-org.ez.sun.ac.za/10.1145/3210240.3210342","","2018","2020-06-05 12:35:04","2020-06-05 12:35:04","","323–336","","","","","","","MobiSys ’18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Munich, Germany","","","","Tracking; Computer Vision; Bluetooth; Edge Computing; Mobile Sensing; Shopping","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YB9UTDAU","journalArticle","2016","Chen, Chen; Woundefinedniak, Pawe\l W.; Romanowski, Andrzej; Obaid, Mohammad; Jaworski, Tomasz; Kucharski, Jacek; Grudzieundefined, Krzysztof; Zhao, Shengdong; Fjeld, Morten","Using Crowdsourcing for Scientific Analysis of Industrial Tomographic Images","ACM Trans. Intell. Syst. Technol.","","2157-6904","10.1145/2897370","https://doi-org.ez.sun.ac.za/10.1145/2897370","","2016-07","2020-06-05 12:35:04","2020-06-05 12:35:04","","","","4","7","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","crowdsourcing; particle tracking; tomography; Silo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JLYXH28X","conferencePaper","2016","Ghosh, Debopriya; Chun, Soon Ae; Shafiq, Basit; Adam, Nabil R.","Big Data-Based Smart City Platform: Real-Time Crime Analysis","Proceedings of the 17th International Digital Government Research Conference on Digital Government Research","978-1-4503-4339-8","","10.1145/2912160.2912205","https://doi-org.ez.sun.ac.za/10.1145/2912160.2912205","","2016","2020-06-05 12:35:04","2020-06-05 12:35:04","","58–66","","","","","","","dg.o ’16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Shanghai, China","","","","machine learning; smart city; crime analysis; Local Government","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY4GKQSU","conferencePaper","2016","Liang, Zilu; Ploderer, Bernd","Sleep Tracking in the Real World: A Qualitative Study into Barriers for Improving Sleep","Proceedings of the 28th Australian Conference on Computer-Human Interaction","978-1-4503-4618-4","","10.1145/3010915.3010988","https://doi-org.ez.sun.ac.za/10.1145/3010915.3010988","","2016","2020-06-05 12:35:04","2020-06-05 12:35:04","","537–541","","","","","","","OzCHI ’16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Launceston, Tasmania, Australia","","","","personal informatics; sleep; self-awareness; health; self-tracking; self-monitoring; behaviour change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3SCTKEV9","conferencePaper","2017","Liu, Zhengchun; Balaprakash, Prasanna; Kettimuthu, Rajkumar; Foster, Ian","Explaining Wide Area Data Transfer Performance","Proceedings of the 26th International Symposium on High-Performance Parallel and Distributed Computing","978-1-4503-4699-3","","10.1145/3078597.3078605","https://doi-org.ez.sun.ac.za/10.1145/3078597.3078605","","2017","2020-06-05 12:35:04","2020-06-05 12:35:04","","167–178","","","","","","","HPDC ’17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Washington, DC, USA","","","","machine learning; globus; gridftp; wide area data transfer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4RKK4DUE","conferencePaper","2017","Gorm, Nanna","Personal Health Tracking Technologies in Practice","Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing","978-1-4503-4688-7","","10.1145/3022198.3024935","https://doi-org.ez.sun.ac.za/10.1145/3022198.3024935","","2017","2020-06-05 12:35:04","2020-06-05 12:35:04","","69–72","","","","","","","CSCW ’17 Companion","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Portland, Oregon, USA","","","","workplace; surveillance; self-tracking; doctoral consortium; health and wellness programs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QRQVX5QG","book","2017","","EMDL ’17: Proceedings of the 1st International Workshop on Deep Learning for Mobile Systems and Applications","","978-1-4503-4962-8","","","","","2017","2020-06-05 12:35:04","2020-06-05 12:35:04","","","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YDMAIRTN","conferencePaper","2017","Wohlauf, Anne; Hemmert, Fabian; Wettach, Reto","The Haptic Body Scale: Designing Imprecision in Times of the Quantified Self","Proceedings of the Eleventh International Conference on Tangible, Embedded, and Embodied Interaction","978-1-4503-4676-4","","10.1145/3024969.3025003","https://doi-org.ez.sun.ac.za/10.1145/3024969.3025003","","2017","2020-06-05 12:35:04","2020-06-05 12:35:04","","367–373","","","","","","","TEI ’17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Yokohama, Japan","","","","user experience; tangible interaction; floor; haptic display; tactile feedback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWSTWG2E","journalArticle","2017","Caron, François; Neiswanger, Willie; Wood, Frank; Doucet, Arnaud; Davy, Manuel","Generalized Póya Urn for Time-Varying Pitman-Yor Processes","J. Mach. Learn. Res.","","1532-4435","","","","2017-01","2020-06-05 12:35:04","2020-06-05 12:35:04","","836–867","","1","18","","","","","","","","","","","","","","","","","Publisher: JMLR.org","","","","clustering; sequential Monte Carlo; Bayesian nonparametrics; dynamic models; mixture models; particle Markov chain Monte Carlo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XLCJ5BQF","conferencePaper","2016","Zhou, Shuo; Vinh, Nguyen Xuan; Bailey, James; Jia, Yunzhe; Davidson, Ian","Accelerating Online CP Decompositions for Higher Order Tensors","Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","978-1-4503-4232-2","","10.1145/2939672.2939763","https://doi-org.ez.sun.ac.za/10.1145/2939672.2939763","","2016","2020-06-05 12:35:04","2020-06-05 12:35:04","","1375–1384","","","","","","","KDD ’16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Francisco, California, USA","","","","online learning; tensor decomposition; CP decomposition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DDU6VNFT","journalArticle","2018","Wang, Liang; Cheng, Wen; Pan, Lijia; Gu, Tao; Wu, Tianheng; Tao, Xianping; Lu, Jian","SpiderWalk: Circumstance-Aware Transportation Activity Detection Using a Novel Contact Vibration Sensor","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","","","10.1145/3191774","https://doi-org.ez.sun.ac.za/10.1145/3191774","","2018-03","2020-06-05 12:35:04","2020-06-05 12:35:04","","","","1","2","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","Transportation; Circumstance-aware; Crack-resistance Sensor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBJGSPCS","conferencePaper","2018","Ciampaglia, Giovanni Luca; Lerman, Kristina; Metaxas, Panagiotis","Journalism, Misinformation and Fact Checking Chairs’ Welcome & Organization","Companion Proceedings of the The Web Conference 2018","978-1-4503-5640-4","","10.1145/3184558.3192300","https://doi-org.ez.sun.ac.za/10.1145/3184558.3192300","","2018","2020-06-05 12:35:04","2020-06-05 12:35:04","","513–515","","","","","","","WWW ’18","","","","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, CHE","","","","","","","","event-place: Lyon, France","","","","journalism; fact checking; misinformation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"225RWYEW","journalArticle","2017","Schertler, Nico; Tarini, Marco; Jakob, Wenzel; Kazhdan, Misha; Gumhold, Stefan; Panozzo, Daniele","Field-Aligned Online Surface Reconstruction","ACM Trans. Graph.","","0730-0301","10.1145/3072959.3073635","https://doi-org.ez.sun.ac.za/10.1145/3072959.3073635","","2017-07","2020-06-05 12:35:04","2020-06-05 12:35:04","","","","4","36","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","parameterization; surface reconstruction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R6L2T22A","conferencePaper","2017","Raptis, George E.; Fidas, Christos A.; Avouris, Nikolaos M.","On Implicit Elicitation of Cognitive Strategies Using Gaze Transition Entropies in Pattern Recognition Tasks","Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems","978-1-4503-4656-6","","10.1145/3027063.3053106","https://doi-org.ez.sun.ac.za/10.1145/3027063.3053106","","2017","2020-06-05 12:35:04","2020-06-05 12:35:04","","1993–2000","","","","","","","CHI EA ’17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Denver, Colorado, USA","","","","eye tracking; user study; cognitive strategies; visual pattern recognition tasks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92KRMTK7","conferencePaper","2017","Starov, Oleksii; Nikiforakis, Nick","Extended Tracking Powers: Measuring the Privacy Diffusion Enabled by Browser Extensions","Proceedings of the 26th International Conference on World Wide Web","978-1-4503-4913-0","","10.1145/3038912.3052596","https://doi-org.ez.sun.ac.za/10.1145/3038912.3052596","","2017","2020-06-05 12:35:04","2020-06-05 12:35:04","","1481–1490","","","","","","","WWW ’17","","","","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, CHE","","","","","","","","event-place: Perth, Australia","","","","web tracking; browser extensions; privacy diffusion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAEGT9HU","conferencePaper","2017","Zhao, ShiLin; Li, Ming; Yang, Xinli","Robust Object Tracking Based on Collaborative Sparse Representation of Multifeature","Proceedings of the 2017 International Conference on Robotics and Artificial Intelligence","978-1-4503-5358-8","","10.1145/3175603.3175614","https://doi-org.ez.sun.ac.za/10.1145/3175603.3175614","","2017","2020-06-05 12:35:04","2020-06-05 12:35:04","","27–32","","","","","","","ICRAI 2017","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Shanghai, China","","","","target tracking; sparse representation; multifeature fusion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXDHC3MX","conferencePaper","2016","Palinko, Oskar; Rea, Francesco; Sandini, Giulio; Sciutti, Alessandra","Eye Tracking for Human Robot Interaction","Proceedings of the Ninth Biennial ACM Symposium on Eye Tracking Research & Applications","978-1-4503-4125-7","","10.1145/2857491.2888590","https://doi-org.ez.sun.ac.za/10.1145/2857491.2888590","","2016","2020-06-05 12:35:15","2020-06-05 12:35:15","","327–328","","","","","","","ETRA ’16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Charleston, South Carolina","","","","eye tracking; human robot interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EVB6W6MJ","conferencePaper","2018","Ponsard, Christophe; Deprez, Jean-Christophe","Helping SMEs to Better Develop Software: Experience Report and Challenges Ahead","Proceedings of the 40th International Conference on Software Engineering: Software Engineering in Practice","978-1-4503-5659-6","","10.1145/3183519.3183553","https://doi-org.ez.sun.ac.za/10.1145/3183519.3183553","","2018","2020-06-05 12:35:15","2020-06-05 12:35:15","","213–214","","","","","","","ICSE-SEIP ’18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Gothenburg, Sweden","","","","software process improvement; case studies; industry report; ISO29110; small and medium enterprise; software development practices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TW25MU3Q","conferencePaper","2018","Azuma, Kayo; Koike, Hideki","A Study on Gaze Guidance Using Artificial Color Shifts","Proceedings of the 2018 International Conference on Advanced Visual Interfaces","978-1-4503-5616-9","","10.1145/3206505.3206517","https://doi-org.ez.sun.ac.za/10.1145/3206505.3206517","","2018","2020-06-05 12:35:15","2020-06-05 12:35:15","","","","","","","","","AVI ’18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Castiglione della Pescaia, Grosseto, Italy","","","","eye tracking; gaze interaction; gaze guidance; color shift; visual guidance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GSK2RWH","book","2017","","MobiSys ’17: Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services","","978-1-4503-4928-4","","","","","2017","2020-06-05 12:35:15","2020-06-05 12:35:15","","","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7VYQBEM4","conferencePaper","2018","Karolus, Jakob; Dabbert, Patrick; Wozniak, Pawel W.","I Know What You Want: Using Gaze Metrics to Predict Personal Interest","The 31st Annual ACM Symposium on User Interface Software and Technology Adjunct Proceedings","978-1-4503-5949-8","","10.1145/3266037.3266116","https://doi-org.ez.sun.ac.za/10.1145/3266037.3266116","","2018","2020-06-05 12:35:15","2020-06-05 12:35:15","","105–107","","","","","","","UIST ’18 Adjunct","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Berlin, Germany","","","","eye-tracking; gaze metrics; personal interest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RAATQUYS","conferencePaper","2018","He, Shilin; Lin, Qingwei; Lou, Jian-Guang; Zhang, Hongyu; Lyu, Michael R.; Zhang, Dongmei","Identifying Impactful Service System Problems via Log Analysis","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","978-1-4503-5573-5","","10.1145/3236024.3236083","https://doi-org.ez.sun.ac.za/10.1145/3236024.3236083","","2018","2020-06-05 12:35:15","2020-06-05 12:35:15","","60–70","","","","","","","ESEC/FSE 2018","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Lake Buena Vista, FL, USA","","","","Clustering; Log Analysis; Problem Identification; Service Systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YB4ZU6JZ","conferencePaper","2017","MacFarlane, Andrew; Buchanan, George; Al-Wabil, Areej; Andrienko, Gennady; Andrienko, Natalia","Visual Analysis of Dyslexia on Search","Proceedings of the 2017 Conference on Conference Human Information Interaction and Retrieval","978-1-4503-4677-1","","10.1145/3020165.3022134","https://doi-org.ez.sun.ac.za/10.1145/3020165.3022134","","2017","2020-06-05 12:35:16","2020-06-05 12:35:16","","285–288","","","","","","","CHIIR ’17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Oslo, Norway","","","","information retrieval; visual analysis; dyslexia.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UHC6TAQ2","conferencePaper","2017","Seiderer, Andreas; Flutura, Simon; André, Elisabeth","Development of a Mobile Multi-Device Nutrition Logger","Proceedings of the 2nd ACM SIGCHI International Workshop on Multisensory Approaches to Human-Food Interaction","978-1-4503-5556-8","","10.1145/3141788.3141790","https://doi-org.ez.sun.ac.za/10.1145/3141788.3141790","","2017","2020-06-05 12:35:16","2020-06-05 12:35:16","","5–12","","","","","","","MHFI 2017","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Glasgow, UK","","","","Food Journal; Multi-Device; Nutrition Logging; Smartwatch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFHCDBDG","conferencePaper","2018","Lim, Kwan Hui; Lee, Kate E.; Kendal, Dave; Rashidi, Lida; Naghizade, Elham; Winter, Stephan; Vasardani, Maria","The Grass is Greener on the Other Side: Understanding the Effects of Green Spaces on Twitter User Sentiments","Companion Proceedings of the The Web Conference 2018","978-1-4503-5640-4","","10.1145/3184558.3186337","https://doi-org.ez.sun.ac.za/10.1145/3184558.3186337","","2018","2020-06-05 12:35:16","2020-06-05 12:35:16","","275–282","","","","","","","WWW ’18","","","","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, CHE","","","","","","","","event-place: Lyon, France","","","","empirical study; twitter; urban areas; green spaces","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44FQKLW6","conferencePaper","2017","Qian, Shengsheng; Zhang, Tianzhu; Xu, Changsheng","A Generic Framework for Social Event Analysis","Proceedings of the 2017 ACM on International Conference on Multimedia Retrieval","978-1-4503-4701-3","","10.1145/3078971.3079007","https://doi-org.ez.sun.ac.za/10.1145/3078971.3079007","","2017","2020-06-05 12:35:16","2020-06-05 12:35:16","","480–483","","","","","","","ICMR ’17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Bucharest, Romania","","","","large-scale; multi-modal; multi-domain; social event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTWTAITE","journalArticle","2016","Boi, Paolo; Fenu, Gianni; Spano, Lucio Davide; Vargiu, Valentino","Reconstructing User’s Attention on the Web through Mouse Movements and Perception-Based Content Identification","ACM Trans. Appl. Percept.","","1544-3558","10.1145/2912124","https://doi-org.ez.sun.ac.za/10.1145/2912124","","2016-05","2020-06-05 12:35:16","2020-06-05 12:35:16","","","","3","13","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","content segmentation; machine learning; layout analysis; mouse-eye correlation; User’s attention","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7E35X3LS","conferencePaper","2018","John, Brendan; Raiturkar, Pallavi; Banerjee, Arunava; Jain, Eakta","An Evaluation of Pupillary Light Response Models for 2D Screens and VR HMDs","Proceedings of the 24th ACM Symposium on Virtual Reality Software and Technology","978-1-4503-6086-9","","10.1145/3281505.3281538","https://doi-org.ez.sun.ac.za/10.1145/3281505.3281538","","2018","2020-06-05 12:35:16","2020-06-05 12:35:16","","","","","","","","","VRST ’18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Tokyo, Japan","","","","virtual reality; eyetracking; pupil dilation; light response; videos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TE7CGIBI","conferencePaper","2018","Knobloch, Jan; Kaltenbach, Jonas; Bruegge, Bernd","Increasing Student Engagement in Higher Education Using a Context-Aware Q&A Teaching Framework","Proceedings of the 40th International Conference on Software Engineering: Software Engineering Education and Training","978-1-4503-5660-2","","10.1145/3183377.3183389","https://doi-org.ez.sun.ac.za/10.1145/3183377.3183389","","2018","2020-06-05 12:35:16","2020-06-05 12:35:16","","136–145","","","","","","","ICSE-SEET ’18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Gothenburg, Sweden","","","","education; context; interaction; teaching; question & answer system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8X6YVINB","journalArticle","2018","Wang, Chuyu; Liu, Jian; Chen, Yingying; Xie, Lei; Liu, Hong Bo; Lu, Sanclu","RF-Kinect: A Wearable RFID-Based Approach Towards 3D Body Movement Tracking","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","","","10.1145/3191773","https://doi-org.ez.sun.ac.za/10.1145/3191773","","2018-03","2020-06-05 12:35:16","2020-06-05 12:35:16","","","","1","2","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","RFID; Body movement tracking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVXU48MC","journalArticle","2018","Tran, Linh Thi Thuc; Nordholm, Sven Erik; Schepker, Henning; Dam, Hai Huyen; Doclo, Simon","Two-Microphone Hearing Aids Using Prediction Error Method for Adaptive Feedback Control","IEEE/ACM Trans. Audio, Speech and Lang. Proc.","","2329-9290","10.1109/TASLP.2018.2798822","https://doi-org.ez.sun.ac.za/10.1109/TASLP.2018.2798822","","2018-05","2020-06-05 12:35:16","2020-06-05 12:35:16","","909–923","","5","26","","","","","","","","","","","","","","","","","Publisher: IEEE Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5QMVYJYS","conferencePaper","2016","Koniaris, Babis; Huerta, Ivan; Kosek, Maggie; Darragh, Karen; Malleson, Charles; Jamrozy, Joanna; Swafford, Nick; Guitian, Jose; Moon, Bochang; Israr, Ali; Mitchell, Kenny","IRIDiuM: Immersive Rendered Interactive Deep Media","ACM SIGGRAPH 2016 VR Village","978-1-4503-4377-0","","10.1145/2929490.2929496","https://doi-org.ez.sun.ac.za/10.1145/2929490.2929496","","2016","2020-06-05 12:35:16","2020-06-05 12:35:16","","","","","","","","","SIGGRAPH ’16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Anaheim, California","","","","interaction; VR; real-time rendering; viewer tracking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXQW7TNK","conferencePaper","2016","Martin, Taylor; Brasiel, Sarah; Jeong, Soojeong; Close, Kevin; Lawanto, Kevin; Janisciewcz, Phil","Macro Data for Micro Learning: Developing the FUN! Tool for Automated Assessment of Learning","Proceedings of the Third (2016) ACM Conference on Learning @ Scale","978-1-4503-3726-7","","10.1145/2876034.2893422","https://doi-org.ez.sun.ac.za/10.1145/2876034.2893422","","2016","2020-06-05 12:35:16","2020-06-05 12:35:16","","233–236","","","","","","","L@S ’16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Edinburgh, Scotland, UK","","","","assessment; educational data mining; digital learning environments; micro learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4E8NDET","journalArticle","2016","Li, Xiaoyan; Liu, Tongliang; Deng, Jiankang; Tao, Dacheng","Video Face Editing Using Temporal-Spatial-Smooth Warping","ACM Trans. Intell. Syst. Technol.","","2157-6904","10.1145/2819000","https://doi-org.ez.sun.ac.za/10.1145/2819000","","2016-02","2020-06-05 12:35:16","2020-06-05 12:35:16","","","","3","7","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","spatial smoothness; temporal coherence; Video face editing; warping","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NIEV8CT5","conferencePaper","2016","Grechkin, Timofey; Thomas, Jerald; Azmandian, Mahdi; Bolas, Mark; Suma, Evan","Revisiting Detection Thresholds for Redirected Walking: Combining Translation and Curvature Gains","Proceedings of the ACM Symposium on Applied Perception","978-1-4503-4383-1","","10.1145/2931002.2931018","https://doi-org.ez.sun.ac.za/10.1145/2931002.2931018","","2016","2020-06-05 12:35:16","2020-06-05 12:35:16","","113–120","","","","","","","SAP ’16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Anaheim, California","","","","virtual reality; perception; locomotion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27DGGDR5","conferencePaper","2018","Shiraishi, Taijiro; Nakayama, Minoru","Eye Movements and Viewer’s Impressions in Response to HMD-Evoked Head Movements","Proceedings of the Workshop on Communication by Gaze Interaction","978-1-4503-5790-6","","10.1145/3206343.3206346","https://doi-org.ez.sun.ac.za/10.1145/3206343.3206346","","2018","2020-06-05 12:35:16","2020-06-05 12:35:16","","","","","","","","","COGAIN ’18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Warsaw, Poland","","","","head mounted display; head movements; viewing behaviour; visual impression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
