"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XRYLWPT8","conferencePaper","2015","Nimako, Gideon","A Data Assurance Model for Syndromic Monitoring Infectious Diseases in Developing Countries","Proceedings of the 6th ACM Conference on Bioinformatics, Computational Biology and Health Informatics","978-1-4503-3853-0","","10.1145/2808719.2811441","https://doi-org.ez.sun.ac.za/10.1145/2808719.2811441","","2015","2020-06-05 13:38:41","2020-06-05 13:38:41","","521–522","","","","","","","BCB ’15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Atlanta, Georgia","","","","data model; communicable diseases; data streaming; distributed databases","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WEDR5EJQ","conferencePaper","2015","Romo, Bilyaminu Auwal; Capiluppi, Andrea","Towards an Automation of the Traceability of Bugs from Development Logs: A Study Based on Open Source Software","Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering","978-1-4503-3350-4","","10.1145/2745802.2745833","https://doi-org.ez.sun.ac.za/10.1145/2745802.2745833","","2015","2020-06-05 13:38:41","2020-06-05 13:38:41","","","","","","","","","EASE ’15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Nanjing, China","","","","bug accuracy; bug traceability; bug-fixing commits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILVDLMIM","conferencePaper","2012","Peyton, Liam; Kuziemsky, Craig; Topaloglou, Thodoros; Weber, Jens","4th Annual Workshop on Interoperability and Smart Interactions in Healthcare (ISIH)","Proceedings of the 2012 Conference of the Center for Advanced Studies on Collaborative Research","","","","","","2012","2020-06-05 13:38:42","2020-06-05 13:38:42","","255–256","","","","","","","CASCON ’12","","","","IBM Corp.","USA","","","","","","","","event-place: Toronto, Ontario, Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BK55QTR9","conferencePaper","2013","Zhao, Jianyu; Wang, Peng; Huang, Kai","A Semi-Supervised Approach for Author Disambiguation in KDD CUP 2013","Proceedings of the 2013 KDD Cup 2013 Workshop","978-1-4503-2495-3","","10.1145/2517288.2517298","https://doi-org.ez.sun.ac.za/10.1145/2517288.2517298","","2013","2020-06-05 13:38:42","2020-06-05 13:38:42","","","","","","","","","KDD Cup ’13","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Chicago, Illinois","","","","community detection; author disambiguation; cold start problem; self-taught model; support vector machine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WITVBSIC","conferencePaper","2012","St-Onge, Pascal; Hamon, Robert; Saillour, Virginie; Healy, Jasmine; Beaulieu, Patrick; Sinnett, Daniel","NgALL Database: A Flexible Framework for the Management and Integration of Childhood Leukemia next Generation Sequencing Data","Proceedings of the ACM Conference on Bioinformatics, Computational Biology and Biomedicine","978-1-4503-1670-5","","10.1145/2382936.2383015","https://doi-org.ez.sun.ac.za/10.1145/2382936.2383015","","2012","2020-06-05 13:38:42","2020-06-05 13:38:42","","542–544","","","","","","","BCB ’12","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Orlando, Florida","","","","data management; database; acute lymphoblastic leukemia; genetic variants; MySQL; next generation sequencing; pediatric oncogenomics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJLDA45B","conferencePaper","2014","Raca, Mirko; Dillenbourg, Pierre","Holistic Analysis of the Classroom","Proceedings of the 2014 ACM Workshop on Multimodal Learning Analytics Workshop and Grand Challenge","978-1-4503-0488-7","","10.1145/2666633.2666636","https://doi-org.ez.sun.ac.za/10.1145/2666633.2666636","","2014","2020-06-05 13:38:50","2020-06-05 13:38:50","","13–20","","","","","","","MLA ’14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Istanbul, Turkey","","","","video analysis; tracking; computer vision; classroom; head pose; intrusiveness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFI3FG7G","journalArticle","2015","Ichim, Alexandru Eugen; Bouaziz, Sofien; Pauly, Mark","Dynamic 3D Avatar Creation from Hand-Held Video Input","ACM Trans. Graph.","","0730-0301","10.1145/2766974","https://doi-org.ez.sun.ac.za/10.1145/2766974","","2015-07","2020-06-05 13:38:50","2020-06-05 13:38:50","","","","4","34","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","blendshapes; 3D avatar creation; face animation; rigging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2CJ3K4H","conferencePaper","2013","Jraidi, Imène; Chaouachi, Maher; Frasson, Claude","A Dynamic Multimodal Approach for Assessing Learners’ Interaction Experience","Proceedings of the 15th ACM on International Conference on Multimodal Interaction","978-1-4503-2129-7","","10.1145/2522848.2522896","https://doi-org.ez.sun.ac.za/10.1145/2522848.2522896","","2013","2020-06-05 13:38:50","2020-06-05 13:38:50","","271–278","","","","","","","ICMI ’13","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Sydney, Australia","","","","flow; biofeedback sensing; dynamic bayesian networks; emotional responses; interaction experience; off-task; stuck","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XLH3FTLP","conferencePaper","2012","Sawyer, Steve; Kaziunas, Elizabeth; Øesterlund, Carsten","Social Scientists and Cyberinfrastructure: Insights from a Document Perspective","Proceedings of the ACM 2012 Conference on Computer Supported Cooperative Work","978-1-4503-1086-4","","10.1145/2145204.2145342","https://doi-org.ez.sun.ac.za/10.1145/2145204.2145342","","2012","2020-06-05 13:38:50","2020-06-05 13:38:50","","931–934","","","","","","","CSCW ’12","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Seattle, Washington, USA","","","","work practices; cyberinfrastructure; documents; social scientists","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHGNICR8","journalArticle","2012","Cuypers, Tom; Haber, Tom; Bekaert, Philippe; Oh, Se Baek; Raskar, Ramesh","Reflectance Model for Diffraction","ACM Trans. Graph.","","0730-0301","10.1145/2231816.2231820","https://doi-org.ez.sun.ac.za/10.1145/2231816.2231820","","2012-09","2020-06-05 13:38:50","2020-06-05 13:38:50","","","","5","31","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","interference; diffraction; Simulating natural phenomena; wave effects; wave optics; Wigner distribution function","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
